Event Name,Date(s),End Date,City,State,Country,Type,Consumption On-Site,Participation Cost,Accepts Free Product,Event Size,Source URL,Contact Email or IG,Contact Name,Date Added,Status,Last Touch Date,Product Sent,Ship Tracking,Notes,Priority,Tags,Outreach Draft Location,Content Received
Underground 420 Festival (LA On Lock),2026-04-19,,Los Angeles,CA,USA,End User,Yes,$0,Yes,2000+,https://laonlock.com/underground-420-festival,@laonlock,,2026-04-18,Not contacted,,,,Large underground 420 fest with indoor consumption. Gift bag format fits overstock.,A,festival;consumption;gift-bag,,
Mile High 420 Festival,2026-04-20,2026-04-20,Denver,CO,US,End User,Unknown,$0,Unknown,2000+,https://www.milehigh420fest.com/,https://www.milehigh420fest.com/,,2026-04-17,Not contacted,,,,"50,000+ attendees. Juicy J, Paul Wall, Mike Jones. Two stages. World's largest 420 celebration. 21+.",A,420,,
Mendo Cup (2nd Annual),2026-05-03,2026-05-03,Willits,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.themendocup.org/,https://www.themendocup.org/,,2026-04-17,Not contacted,,,,"Celebrates Mendocino County craft cannabis farmers. Outdoor consumption lounge, DJs, awards. 21+.",A,cup,,
WEEDCon Cup + LA Expo,2026-05-21,,Los Angeles,CA,USA,End User,Yes,$0-500,Unknown,500-2000,https://weedconevents.com,info@weedconevents.com,,2026-04-18,Not contacted,,,,Cup format — ask about product inclusion in judge kits + swag bags.,B,cup;expo,,
California Roots Music & Arts Festival,2026-05-22,2026-05-24,Monterey,CA,US,End User,Unknown,$0,Unknown,2000+,https://www.californiarootsfestival.com/,https://www.californiarootsfestival.com/,,2026-04-17,Not contacted,,,,"Premier reggae festival. Ziggy Marley, Damian Marley, Rebelution, Ice Cube, Pepper. Memorial Day weekend. Deep cannabis culture.",A,,,
Cali Roots Music & Arts Festival (15th Anniv.),2026-05-22,,Monterey,CA,USA,End User,Implied,Sponsorship only,Unknown,2000+,https://www.californiarootsfestival.com,@calirootsfest,,2026-04-18,Not contacted,,,,"Biggest reggae fest on West Coast. Try via artist management or gifting suites, not paid booth.",A,festival;music;reggae,,
Farmers Cup — 420 Edition,2026-05-30,2026-05-30,San Diego,CA,US,End User,Unknown,$0,Unknown,500-2000,https://farmerscupofficial.com/,https://farmerscupofficial.com/,,2026-04-17,Not contacted,,,,"People's choice cannabis competition. Flower, edibles, concentrates, pre-rolls. Consumer judging. 21+.",A,cup;420,,
Farmers Cup 420 Edition,2026-05-30,,San Diego,CA,USA,End User,Yes,Unknown,Unknown,500-2000,,,,2026-04-18,Not contacted,,,,People's choice cannabis competition.,A,cup;consumer,,
Cali Vibes Fest,2026-06-06,2026-06-07,Long Beach,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.visitlongbeach.com/events/annual-events/cali-vibes-fest/,https://www.visitlongbeach.com/events/annual-events/cali-vibes-fest/,,2026-04-17,Not contacted,,,,One of the first festivals to permit on-site cannabis consumption. Cannabis village with brand activations. Reggae/hip-hop/alternative.,A,,,
Reggae Rise Up Oregon,2026-06-12,2026-06-14,Redmond,OR,US,End User,Unknown,$0,Unknown,500-2000,https://reggaeriseup.com/oregon/,https://reggaeriseup.com/oregon/,,2026-04-17,Not contacted,,,,"Camping festival. Dirty Heads, Rebelution, 311, Iration, SOJA, Burning Spear, J Boog, Tribal Seeds.",A,reggae;festival;music,,
Northern Nights Music Festival,2026-07-17,2026-07-19,Piercy,CA,US,End User,Unknown,$0,Unknown,2000+,https://www.northernnights.org/,https://www.northernnights.org/,,2026-04-17,Not contacted,,,,"Cannabis lounge on-site. Cannabis brand partners (Cake, Papa's Herb, Neau Tropics). NorCal Eel River camping. Electronic/bass music.",A,,,
Reggae On The Mountain,2026-07-25,2026-07-25,Topanga,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.reggaeonthemountain.com/,https://www.reggaeonthemountain.com/,,2026-04-17,Not contacted,,,,"SoCal roots reggae day festival. Don Carlos, Yellowman, Chalice. Counterculture canyon community.",A,reggae;festival;music,,
Reggae on the River,2026-08-14,2026-08-16,Piercy,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.reggaeontheriver.com/,https://www.reggaeontheriver.com/,,2026-04-17,Not contacted,,,,36th annual. Legendary reggae festival on the Eel River in Humboldt County. Deep Emerald Triangle cannabis culture roots.,A,reggae;festival;music,,
Reggae on the River (37th Annual),2026-08-14,,Humboldt County,CA,USA,End User,Yes,$0,Unknown,2000+,https://www.reggaeontheriver.com,Mateel Community Center,,2026-04-18,Not contacted,,,,Humboldt reggae heartland. Reach out to Mateel Community Center nonprofit host.,A,festival;music;reggae,,
The Emerald Cup,2026-08-15,2026-08-16,Santa Rosa,CA,US,End User,Unknown,$0,Unknown,500-2000,https://theemeraldcup.com/,https://theemeraldcup.com/,,2026-04-17,Not contacted,,,,"World's most prestigious sun-grown cannabis competition. 30,000+ attendees. Live music, educational workshops, vendor exhibits.",A,cup,,
WEEDCon Cup + SF Expo,2026-09-01,,San Francisco,CA,USA,End User,Yes,$0-500,Unknown,500-2000,https://weedconevents.com,info@weedconevents.com,,2026-04-18,Not contacted,,,,SF edition of WEEDCon. Same pitch as LA.,B,cup;expo,,
Nevada Cannabis Awards Music Festival,2026-09-26,2026-09-26,Las Vegas,NV,US,End User,Unknown,$0,Unknown,2000+,,,,2026-04-17,Not contacted,,,,"Cannabis awards ceremony + live music. Recognizes top dispensaries, growers, influencers in Nevada.",A,,,
HIGH RESOLUTION THE ART OF CANNABIS PHOTOGRAPHY,2026-04-24,,Los Angeles,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/high-resolution-the-art-of-cannabis-photography-tickets-1986404145271,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Los Angeles, CA search for 'cannabis'",B,eventbrite;cannabis,,
WEEDCon,2026-05-21,,Los Angeles,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/weedcon-tickets-1985106620339,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Los Angeles, CA search for 'cannabis'",B,eventbrite;cannabis,,
Adult 420 Paint A Bong Event,Recurring,,Los Angeles,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/adult-420-paint-a-bong-event-tickets-1987708562819,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Los Angeles, CA search for 'cannabis'",B,eventbrite;cannabis,,
"Puff, Puff, Paint: Get Creative With Your Buds",2026-05-24,,Los Angeles,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/puff-puff-paint-get-creative-with-your-buds-tickets-1986553903201,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Los Angeles, CA search for 'cannabis'",B,eventbrite;cannabis,,
"Puff, Puff, Paint: Get Creative With Your Buds",2026-06-28,,Los Angeles,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/puff-puff-paint-get-creative-with-your-buds-tickets-1986555237191,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Los Angeles, CA search for 'cannabis'",B,eventbrite;cannabis,,
Smoke & Draw,2026-04-20,,Los Angeles,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/smoke-draw-tickets-1987538798048,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Los Angeles, CA search for '420'",B,eventbrite;420,,
420 SF SpaceWalk Rock/Punk show at Mabuhay Gardens,2026-04-20,,San Francisco,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-sf-spacewalk-rockpunk-show-at-mabuhay-gardens-tickets-1987712592873,,,2026-04-20,Not contacted,,,,"Found via Eventbrite San Francisco, CA search for '420'",B,eventbrite;420,,
7th Denver CBD OutLook,2026-05-20,,Denver,CO,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/7th-denver-cbd-outlook-tickets-1979900112534,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Denver, CO search for 'cannabis'",B,eventbrite;cannabis,,
April Cannabis & Psychedelics Meetup at 5 on Lawrence,2026-04-22,,Denver,CO,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/april-cannabis-psychedelics-meetup-at-5-on-lawrence-tickets-1986595687178,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Denver, CO search for 'cannabis'",B,eventbrite;cannabis,,
420 POT-tery Paint Night,2026-04-30,,Denver,CO,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-pot-tery-paint-night-tickets-1987537402875,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Denver, CO search for 'cannabis'",B,eventbrite;cannabis,,
Las Vegas Dispensary Tour,Recurring,,Las Vegas,NV,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/las-vegas-dispensary-tour-tickets-378115773457,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Las Vegas, NV search for 'cannabis'",B,eventbrite;cannabis,,
High Notes and Good Vibes,2026-04-20,,Las Vegas,NV,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/high-notes-and-good-vibes-tickets-1987375621984,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Las Vegas, NV search for 'cannabis'",B,eventbrite;cannabis,,
HIGH Society Weekend,Recurring,,Las Vegas,NV,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/high-society-weekend-tickets-1985000570140,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Las Vegas, NV search for 'cannabis'",B,eventbrite;cannabis,,
Supreme Cannabis Tours Las Vegas Weed Lounge & Party Bus Experience,Recurring,,Las Vegas,NV,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/supreme-cannabis-tours-las-vegas-weed-lounge-party-bus-experience-tickets-208369668287,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Las Vegas, NV search for 'cannabis'",B,eventbrite;cannabis,,
Cannabis and Candles,2026-06-27,,Phoenix,AZ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/cannabis-and-candles-tickets-1985083930473,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Phoenix, AZ search for 'cannabis'",B,eventbrite;cannabis,,
Single Stoners Meetup for Conversation and New Connections,Recurring,,Phoenix,AZ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/single-stoners-meetup-for-conversation-and-new-connections-tickets-1978849861204,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Phoenix, AZ search for 'cannabis'",B,eventbrite;cannabis,,
Single Night For Stoners,Recurring,,Phoenix,AZ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/single-night-for-stoners-tickets-1979131808516,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Phoenix, AZ search for 'cannabis'",B,eventbrite;cannabis,,
4/20 Puff n Paint,2026-04-20,,Phoenix,AZ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-puff-n-paint-tickets-1984679944139,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Phoenix, AZ search for 'cannabis'",B,eventbrite;cannabis,,
420 Smoke & Stroke {Painting on the Patio Sess’} @ Club Encounters,2026-05-27,,Phoenix,AZ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-smoke-stroke-painting-on-the-patio-sess-club-encounters-tickets-1987710638026,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Phoenix, AZ search for '420'",B,eventbrite;420,,
"Smarty Pints! Plants, Pollinators, and Cannabis Chemistry",2026-04-20,,Seattle,WA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/smarty-pints-plants-pollinators-and-cannabis-chemistry-tickets-1986291688911,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Seattle, WA search for 'cannabis'",B,eventbrite;cannabis,,
"Allay, THC Girls, and Highly Connected Happy Hour - Portland, OR",2026-05-14,,Portland,OR,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/allay-thc-girls-and-highly-connected-happy-hour-portland-or-tickets-1986663988469,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Portland, OR search for 'cannabis'",B,eventbrite;cannabis,,
Weeds and What They Tell Us/Las Malas Hierbas y lo que nos Dicen,2026-04-22,,Portland,OR,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/weeds-and-what-they-tell-uslas-malas-hierbas-y-lo-que-nos-dicen-tickets-1983384773248,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Portland, OR search for 'cannabis'",B,eventbrite;cannabis,,
4/20 Scholars Ball (Cannabis Event),2026-04-20,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-scholars-ball-cannabis-event-tickets-1984519506265,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for 'cannabis'",B,eventbrite;cannabis,,
Third Thursday NYC - Cannabis Community Meet Up,Recurring,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/third-thursday-nyc-cannabis-community-meet-up-tickets-570806606927,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for 'cannabis'",B,eventbrite;cannabis,,
420 Week Celebration with Art Exhibition & More,2026-04-24,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-week-celebration-with-art-exhibition-more-tickets-1986854883441,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for 'cannabis'",B,eventbrite;cannabis,,
Puff-Puff Playtest Pop-up,Recurring,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/puff-puff-playtest-pop-up-tickets-1302680144379,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for 'cannabis'",B,eventbrite;cannabis,,
"ACR Annual Benefit -  Golden Hours: High Traditions, New Horizons",2026-05-28,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/acr-annual-benefit-golden-hours-high-traditions-new-horizons-tickets-1987071467249,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for 'cannabis'",B,eventbrite;cannabis,,
"PERREO GARDEN 420 - Reggaeton Dance Party, 18+ - Brooklyn Warehouse",2026-04-25,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/perreo-garden-420-reggaeton-dance-party-18-brooklyn-warehouse-tickets-1984994861064,info@crustnation.com,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for '420'",B,eventbrite;420,,
4/20 420 VIBES ARE HIGH PARTY CRUISE,2026-04-20,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-420-vibes-are-high-party-cruise-tickets-1987323612422,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for '420'",B,eventbrite;420,,
VIBES ARE HIGH 4/20 PARTY CRUISE NEW YORK CITY,2026-04-20,,New York,NY,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/vibes-are-high-420-party-cruise-new-york-city-tickets-1986991635470,,,2026-04-20,Not contacted,,,,"Found via Eventbrite New York, NY search for '420'",B,eventbrite;420,,
Anya Nuttz’s Evil Pop Quiz 420 Theme,2026-04-20,,Boston,MA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/anya-nuttzs-evil-pop-quiz-420-theme-tickets-1984347930076,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Boston, MA search for 'cannabis'",B,eventbrite;cannabis,,
Sundub Meet & Greet at Prolific Dispensary Allston,2026-05-29,,Boston,MA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/sundub-meet-greet-at-prolific-dispensary-allston-tickets-1985373568789,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Boston, MA search for 'cannabis'",B,eventbrite;cannabis,,
FERAL 420 BLAZE IT!! BOSTON'S 4/20 PARTY!!!,2026-04-20,,Boston,MA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/feral-420-blaze-it-bostons-420-party-tickets-1987275152477,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Boston, MA search for '420'",B,eventbrite;420,,
Cannabis Equity Chamber of Commerce Mixer,2026-04-20,,Sacramento,CA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/cannabis-equity-chamber-of-commerce-mixer-tickets-1987169072188,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Sacramento, CA search for 'cannabis'",B,eventbrite;cannabis,,
Blunt Rolling Contest,2026-04-20,,Detroit,MI,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/blunt-rolling-contest-tickets-1987396393111,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Detroit, MI search for 'cannabis'",B,eventbrite;cannabis,,
BIGGEST 420 PARTY,2026-04-20,,Detroit,MI,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/biggest-420-party-tickets-1987844242641,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Detroit, MI search for 'cannabis'",B,eventbrite;cannabis,,
DETROIT BADDIES 4/20 SMOKEOUT,2026-04-20,,Detroit,MI,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/detroit-baddies-420-smokeout-tickets-1987096754885,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Detroit, MI search for '420'",B,eventbrite;420,,
BED BUDS @ TV LOUNGE,2026-04-20,,Detroit,MI,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/bed-buds-tv-lounge-tickets-1987160452406,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Detroit, MI search for '420'",B,eventbrite;420,,
Midwest Cannabis Forum,2026-05-28,,Chicago,IL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/midwest-cannabis-forum-tickets-1982314831022,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Chicago, IL search for 'cannabis'",B,eventbrite;cannabis,,
420 Shakespeare,Recurring,,Chicago,IL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-shakespeare-tickets-1983055745116,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Chicago, IL search for 'cannabis'",B,eventbrite;cannabis,,
High Score: A 420 Game Night for Grown Folks,2026-04-20,,Chicago,IL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/high-score-a-420-game-night-for-grown-folks-tickets-1986721074214,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Chicago, IL search for 'cannabis'",B,eventbrite;cannabis,,
HighQ at Rise Salt Shed,2026-04-28,,Chicago,IL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/highq-at-rise-salt-shed-tickets-1985584520752,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Chicago, IL search for 'cannabis'",B,eventbrite;cannabis,,
HighQ - a comedy game show at The Lincoln Lodge,Recurring,,Chicago,IL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/highq-a-comedy-game-show-at-the-lincoln-lodge-tickets-1980195347590,thelincolnlodge@gmail.com,,2026-04-20,Not contacted,,,,"Found via Eventbrite Chicago, IL search for 'cannabis'",B,eventbrite;cannabis,,
420 Safety Meeting,2026-04-26,,Chicago,IL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-safety-meeting-tickets-1986550576250,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Chicago, IL search for 'cannabis'",B,eventbrite;cannabis,,
420NJEvents Cannab*s Showcase Series,2026-06-07,,Newark,NJ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420njevents-cannabs-showcase-series-tickets-1987287112249,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Newark, NJ search for 'cannabis'",B,eventbrite;cannabis,,
